no_prov;Provinsi;kelapa_sawit;Tahun
1;Aceh;732.70;2016
2;Sumatera Utara;3983.70;2016
3;Sumatera Barat;1183.10;2016
4;Riau;7668.10;2016
5;Jambi;1435.10;2016
6;Sumatera Selatan;2929.50;2016
7;Bengkulu;750.20;2016
8;Lampung;425.90;2016
9;Bangka Belitung;726.60;2016
10;Kepulauan Riau;21.40;2016
11;Jakarta Raya;0;2016
12;Jawa Barat;32.80;2016
13;Jawa Tengah;0;2016
14;Yogyakarta;0;2016
15;Jawa Timur;0;2016
16;Banten;27.50;2016
17;Bali;0;2016
18;Nusa Tenggara Barat;0;2016
19;Nusa Tenggara Timur;0;2016
20;Kalimantan Barat;2192.60;2016
21;Kalimantan Tengah;4260.10;2016
22;Kalimantan Selatan;1750.40;2016
23;Kalimantan Timur;2358.40;2016
24;Kalimantan Utara;167.70;2016
25;Sulawesi Utara;0;2016
26;Sulawesi Tengah;316.80;2016
27;Sulawesi Selatan;105.10;2016
28;Sulawesi Tenggara;65.40;2016
29;Gorontalo;0.00;2016
30;Sulawesi Barat;434.10;2016
31;Maluku;7.30;2016
32;Maluku Utara;0;2016
33;Papua Barat;135.90;2016
34;Papua;20.60;2016
35;Indonesia;31731.00;2016
1;Aceh;867.30;2017
2;Sumatera Utara;4852.00;2017
3;Sumatera Barat;1209.20;2017
4;Riau;7591.20;2017
5;Jambi;1783.00;2017
6;Sumatera Selatan;2987.00;2017
7;Bengkulu;849.70;2017
8;Lampung;456.00;2017
9;Bangka Belitung;756.10;2017
10;Kepulauan Riau;25.10;2017
11;Jakarta Raya;0;2017
12;Jawa Barat;42.40;2017
13;Jawa Tengah;0;2017
14;Yogyakarta;0;2017
15;Jawa Timur;0;2017
16;Banten;32.10;2017
17;Bali;0;2017
18;Nusa Tenggara Barat;0;2017
19;Nusa Tenggara Timur;0;2017
20;Kalimantan Barat;2529.00;2017
21;Kalimantan Tengah;5209.80;2017
22;Kalimantan Selatan;1560.10;2017
23;Kalimantan Timur;2538.70;2017
24;Kalimantan Utara;205.20;2017
25;Sulawesi Utara;0;2017
26;Sulawesi Tengah;417.10;2017
27;Sulawesi Selatan;113.10;2017
28;Sulawesi Tenggara;86.90;2017
